what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434267118270
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1434267118301
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434267118514
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1434267119152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267121244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267125339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267127056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267134690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434267137924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267139144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267142179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434267145273
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1434267146291
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1434267146370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434267149203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267150666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267155413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434267158058
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1434267160286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1434267161673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1434267166780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434267169211
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434267178248
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1434267178762
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434267182080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267182683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267196828
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1434267202380
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434267204103
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434267213465
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434267227777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434267229725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267253186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267309290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267310995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267324563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267326666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267328749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267330283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267336438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267337609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267340055
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1434267349863
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434267350422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267351996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267517776
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434267524329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267556994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267558969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1434267558994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267628832
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1434267633504
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1434267633538
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434267633998
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1434267640407
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1434267640430
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1434267640435
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1434267640441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267670283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1434267670440
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434267670499
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434267670582
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434267671541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267678453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267684454
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1434267689901
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434267695604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434267697866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434267700334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434268417075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434268441540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434268714032
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434268719942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434268721572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434268981301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434269002380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434269026128
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434269026182
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1434269032895
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1434269032910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434269036594
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434269037098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434269050659
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1434269050787
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434269054320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434269056725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434269096474
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434269102420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434269106557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434269220216
